"Date","Price","Open","High","Low","Vol.","Change %"
"04/04/2026","67,297.5","66,958.4","67,529.4","66,775.3","24.06K","0.51%"
"04/03/2026","66,955.1","66,898.4","67,283.7","66,284.3","37.99K","0.08%"
"04/02/2026","66,898.3","68,104.4","68,639.1","65,773.4","64.32K","-1.77%"
"04/01/2026","68,101.0","68,264.6","69,261.5","67,589.7","59.86K","-0.25%"
"03/31/2026","68,268.3","66,764.1","68,503.4","66,004.6","70.23K","2.27%"
"03/30/2026","66,754.6","65,995.6","68,097.9","65,795.1","63.65K","1.15%"
"03/29/2026","65,994.6","66,365.7","67,076.8","65,015.2","34.74K","-0.56%"
"03/28/2026","66,364.3","66,396.0","67,265.5","65,947.7","36.57K","-0.05%"
"03/27/2026","66,395.8","68,812.6","69,153.6","65,578.2","92.63K","-3.51%"
"03/26/2026","68,812.6","71,326.8","71,419.0","68,172.2","68.45K","-3.52%"
"03/25/2026","71,326.8","70,553.0","71,978.6","70,414.5","56.70K","1.10%"
"03/24/2026","70,549.3","70,906.7","71,368.8","68,943.3","63.95K","-0.51%"
"03/23/2026","70,908.5","67,871.0","71,791.4","67,469.9","81.14K","4.47%"
"03/22/2026","67,876.5","68,886.7","69,541.1","67,399.4","47.11K","-1.46%"
"03/21/2026","68,880.5","70,513.2","71,058.4","68,643.6","35.79K","-2.32%"
"03/20/2026","70,517.2","69,921.8","71,347.1","69,405.0","58.03K","0.86%"
"03/19/2026","69,916.7","71,246.6","71,574.9","68,814.4","70.63K","-1.87%"
"03/18/2026","71,247.9","73,912.8","74,642.2","70,501.3","72.98K","-3.60%"
"03/17/2026","73,908.9","74,864.8","75,991.2","73,460.7","79.48K","-1.28%"
"03/16/2026","74,864.1","72,816.2","74,900.7","72,307.2","89.61K","2.81%"
"03/15/2026","72,816.0","71,203.5","73,135.9","70,866.9","43.82K","2.27%"
"03/14/2026","71,203.1","70,954.2","71,293.1","70,403.4","35.82K","0.35%"
"03/13/2026","70,957.0","70,500.3","73,904.1","70,396.4","99.06K","0.66%"
"03/12/2026","70,494.1","70,192.0","70,734.1","69,226.5","67.11K","0.43%"
"03/11/2026","70,190.1","69,952.4","71,317.5","68,997.5","77.24K","0.34%"
"03/10/2026","69,951.9","68,424.7","71,742.9","68,401.8","93.01K","2.22%"
"03/09/2026","68,435.5","65,994.0","69,452.7","65,858.8","90.37K","3.73%"
"03/08/2026","65,972.6","67,317.1","68,187.0","65,641.7","59.59K","-1.91%"
"03/07/2026","67,258.9","68,123.4","68,519.4","66,983.1","43.68K","-1.27%"
"03/06/2026","68,123.9","70,892.9","71,361.1","67,755.5","76.77K","-3.90%"
"03/05/2026","70,887.5","72,744.3","73,540.2","70,661.7","89.38K","-2.59%"
"03/04/2026","72,768.7","68,319.3","74,031.0","67,426.4","136.55K","6.51%"
